Name,HP,ATK,DEF,Path
Along the Passing Shore,1058,635,396,Nihility
A Secret Vow,1058,476,264,Destruction
An Instant Before A Gaze,1058,582,463,Erudition
Baptism of Pure Thought,952,582,529,The Hunt
Before Dawn,1058,582,463,Erudition
Before the Tutorial Mission Starts,952,476,330,Nihility
Brighter Than the Sun,1058,635,396,Destruction
"Carve the Moon, Weave the Clouds",952,476,330,Harmony
Cruising in the Stellar Sea,952,529,463,The Hunt
Dance! Dance! Dance!,952,423,396,Harmony
Day One of My New Life,952,370,463,Preservation
Destiny's Threads Forewoven,952,370,463,Preservation
Dreamville Adventure,952,370,463,Harmony
Earthly Escapade,1164,529,463,Harmony
Echoes of the Coffin,1164,582,396,Abundance
Eyes of the Prey,952,476,330,Nihility
Fermata,952,476,330,Nihility
Final Victor,952,476,330,The Hunt
Flames Afar,1058,476,264,Destruction
Geniuses' Repose,846,476,396,Erudition
Good Night and Sleep Well,952,476,330,Nihility
"Hey, Over Here",952,423,396,Abundance
I Shall Be My Own Sword,1164,582,396,Destruction
Inherently Unjust Destiny,1058,423,661,Preservation
In the Name of the World,1058,582,463,Nihility
In the Night,1058,582,463,The Hunt
Incessant Rain,1058,582,463,Nihility
Indelible Promise,952,476,330,Destruction
It's Showtime,1058,476,264,Nihility
Landau's Choice,952,423,396,Preservation
Make the World Clamor,846,476,396,Erudition
Memories of the Past,952,423,396,Harmony
Moment of Victory,1058,476,595,Preservation
Night of Fright,1164,476,529,Abundance
Night on the Milky Way,1164,582,396,Erudition
Nowhere to Run,952,529,264,Destruction
On the Fall of an Aeon,1058,529,396,Destruction
Only Silence Remains,952,476,330,The Hunt
Past and Future,952,423,396,Harmony
Past Self in Mirror,1058,529,529,Harmony
Patience is All You Need,1058,582,463,Nihility
Perfect Timing,952,423,396,Abundance
Planetary Rendezvous,1058,423,330,Harmony
Post-Op Conversation,1058,423,330,Abundance
Quid Pro Quo,952,423,396,Abundance
Reforged Remembrance,1058,582,463,Nihility
Resolution Shines As Pearls of Sweat,952,476,330,Nihility
Return to Darkness,846,529,330,The Hunt
River Flows in Spring,846,476,396,The Hunt
Shared Feeling,952,426,396,Abundance
She Already Shut Her Eyes,1270,423,529,Preservation
Sleep Like the Dead,1058,582,463,The Hunt
Solitary Healing,1058,529,396,Nihility
Something Irreplaceable,1164,582,396,Destruction
Subscribe for More!,952,476,330,The Hunt
Swordplay,952,476,330,The Hunt
Texture of Memories,1058,423,529,Preservation
The Battle Isn't Over,1164,529,463,Harmony
The Birth of the Self,952,476,330,Erudition
The Day The Cosmos Fell,952,476,330,Erudition
The Moles Welcome You,1058,476,264,Destruction
The Seriousness of Breakfast,846,476,396,Erudition
The Unreachable Side,1270,582,330,Destruction
This Is Me!,846,370,529,Preservation
Time Waits for No One,1270,476,463,Abundance
Today is Another Peaceful Day,846,529,330,Erudition
Trend of the Universal Market,1058,370,396,Preservation
Under the Blue Sky,952,476,330,Destruction
Warmth Shortens Cold Nights,1058,370,396,Abundance
We Are Wildfire,740,476,463,Preservation
We Will Meet Again,846,529,330,Nihility
What Is Real?,1058,423,330,Abundance
Woof! Walk Time!,952,476,330,Destruction
"Worrisome, Blissful",1058,582,463,The Hunt
